Month,Year,Region,Dengue_Cases,Dengue_Deaths,Date,Is_Outbreak,rfh,rfh_avg,rfh_lag1,rfh^2,rfh rfh_avg,rfh rfh_lag1,rfh_avg^2,rfh_avg rfh_lag1,rfh_lag1^2
May,2017,CAR,57,0,2017-05-01,0,0.8168101017313241,0.22702027082829868,-0.8150713007579298,0.4779917504790325,0.33121717774296544,-0.39712254667260505,-0.019852525759359002,-0.597796474169484,-0.6303136890709794
June,2017,CAR,146,0,2017-06-01,0,-0.5107884149136542,0.054563712988926316,0.8570573362420676,-0.5246772875940979,-0.4413950153814032,-0.16653583730797253,-0.1781661022298314,0.3489962107119162,0.5144556363311258
July,2017,CAR,532,1,2017-07-01,0,0.8364773880778584,1.0150685701631847,-0.47943503986908526,0.49916095357780593,0.806029626986187,-0.16096611976265962,0.8742266237690111,-0.16531405028008747,-0.5081241201354658
August,2017,CAR,841,3,2017-08-01,1,0.8388484834379816,1.7423505444268519,0.8768563778434127,0.5017255754001362,1.236468869506017,0.7806303890917451,1.9478391805576303,1.5158016255356306,0.5360452114823999
September,2017,CAR,610,3,2017-09-01,0,-0.08330424536865476,1.0756640725065758,0.879243357666082,-0.29353184440325214,0.1323336454840146,0.13825859324555512,0.9545693423314795,1.061603229356438,0.5386607608400894
October,2017,CAR,661,0,2017-10-01,0,0.2956995538169474,0.2527061210122656,-0.04908706467781578,-0.015746816929054674,0.05564543948548832,-0.0869891875584711,0.0048743352288390255,-0.10002608584473914,-0.27238865605781865
November,2017,CAR,391,3,2017-11-01,0,0.4902454080262906,-0.002756700443668304,0.33245576003759897,0.15343769203957616,0.03667617039399659,0.2177394636415591,-0.22781618500271225,0.012489903920880629,0.010912547987052207
December,2017,CAR,366,1,2017-12-01,0,-0.7865228694649786,-0.9188139057245791,0.5283049175162449,-0.6275542100777606,-0.743906639581519,-0.4220191362331615,-0.820253341109717,-0.40768598426044544,0.18345667512149771
January,2018,CAR,320,0,2018-01-01,0,-1.1177873589667684,-1.6290997105981968,-0.7570166970633888,-0.7032234290565617,-0.8856820246553273,-0.7410058732449317,-1.0191660775836562,-0.9220954444953454,-0.6130439434717313
February,2018,CAR,234,2,2018-02-01,0,-1.294306523703216,-1.6244696209253477,-1.0905003964986217,-0.7221810480928464,-0.8977031210077729,-0.7899874022137009,-1.0186060807245134,-0.9482428294999865,-0.690215780416113
March,2018,CAR,173,0,2018-03-01,0,-1.2526536737098526,-1.4126684817178892,-1.2682020999503278,-0.7190465863636796,-0.8849519280825328,-0.7956730286171987,-0.9826540271076171,-0.9538959491057724,-0.709549854493602
April,2018,CAR,128,0,2018-04-01,0,-0.632814858254842,-1.1054477828008542,-1.2262702088239998,-0.5746760612258378,-0.7436428460994944,-0.7593098548194549,-0.8945541191788363,-0.9312634033093751,-0.7063531495092484
May,2018,CAR,188,0,2018-05-01,0,-0.38689898147233664,0.22702027082829868,-0.602278963815009,-0.46665362382072223,-0.33192636883448906,-0.5466310304967279,-0.019852525759359002,-0.4624178071088207,-0.5591157552838165
June,2018,CAR,467,1,2018-06-01,0,0.6899673622490884,0.054563712988926316,-0.3547156452636383,0.3458918747931163,0.16636020277589736,-0.12160775658843863,-0.1781661022298314,-0.35928140424762317,-0.44894823884496327
July,2018,CAR,1330,1,2018-07-01,1,1.1461374504391906,1.0150685701631847,0.7293648507823277,0.8567750515541125,1.0399804642189068,0.8788434853957079,0.8742266237690111,0.8893206545664898,0.3797325586466238
August,2018,CAR,1265,2,2018-08-01,1,2.375272285905323,1.7423505444268519,1.1885909175730145,2.727059292717567,2.68735125648704,2.2151716300751354,1.9478391805576303,1.8557510777882358,0.9007607091508933
September,2018,CAR,1221,2,2018-09-01,1,1.1047809471052172,1.0756640725065758,2.4259599837606762,0.8063693540961366,1.0486328194912342,2.166740783997946,0.9545693423314795,2.4391574620573575,2.808184526213786
October,2018,CAR,915,0,2018-10-01,1,-0.42654064733964986,0.2527061210122656,1.1469573583941808,-0.4860158241797573,-0.3470650869598704,-0.019252662916016232,0.0048743352288390255,0.670108936220954,0.8493540695979661
November,2018,CAR,649,0,2018-11-01,0,-1.1791393131656445,-0.002756700443668304,-0.3946228789218224,-0.7114965341268938,-0.7834298978337089,-0.725246277994259,-0.22781618500271225,-0.3999904005992585,-0.4686949283067709
